INCIDENT_NUMBER,SR_CREATION_CHANNEL,INCIDENT_ADDRESS,STATUS,GROUP_NAME,NAME,INCIDENT_DATE,ATTRIBUTE5,ATTRIBUTE6
19060,AGENT,WESTMORELAND STREET 1/2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/09/2009,715891.45,734211.02
50346,AGENT,SAINT STEPHEN'S GREEN 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/12/2009,715841.96,733614.48
22576,AGENT,FINGLAS ROAD FINGLAS EAST 101,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,14/09/2009,713406.81,738669.46
37012,AGENT,ERRIGAL ROAD DRIMNAGH 24,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,04/11/2009,711797.03,731973.62
25258,AGENT,WESTMORELAND STREET 1/2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,23/09/2009,715891.45,734211.02
50338,AGENT,SAINT STEPHEN'S GREEN 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/12/2009,715841.96,733614.48
50352,AGENT,SAINT STEPHEN'S GREEN 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/12/2009,715841.96,733614.48
50364,AGENT,YORK STREET 58,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/12/2009,715501.07,733555.60
31474,AGENT,WILLIAM STREET SOUTH 10,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,15/10/2009,715704.45,733890.04
31188,AGENT,SANDYMOUNT CASTLE DRIVE SANDYMOUNT 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,14/10/2009,718912.81,732567.25
19068,AGENT,SOUTH GREAT GEORGE'S STREET 69/70,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/09/2009,715551.12,733908.29
19066,AGENT,KING STREET SOUTH 46-50,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/09/2009,715763.17,733648.12
25208,AGENT,RATHMINES ROAD UPPER RATHMINES 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,23/09/2009,715503.86,731545.71
41220,AGENT,SANDWITH STREET UPPER 1/2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,17/11/2009,716769.36,733833.06
31766,AGENT,IONA ROAD GLASNEVIN 102,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,16/10/2009,715570.23,736446.71
19056,AGENT,COLLEGE GREEN 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/09/2009,715777.73,734103.58
26792,AGENT,DUNSINK AVENUE FINGLAS WEST 52,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,28/09/2009,712637.32,738481.41
29836,AGENT,THOR PLACE ARBOUR HILL 1,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,08/10/2009,713695.78,734942.59
21844,AGENT,KING STREET SOUTH 52,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,10/09/2009,715786.34,733630.43
21842,AGENT,KING STREET SOUTH 30,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,10/09/2009,715659.09,733669.24
39122,AGENT,THOMAS STREET 100_108 NATIONAL COLLEGE OF ART & DESIGN,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,10/11/2009,714644.42,733906.56
22392,AGENT,WESTLAND ROW 35,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,11/09/2009,716518.58,733870.49
19064,AGENT,KING STREET SOUTH 52,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/09/2009,715786.34,733630.43
74802,AGENT,ASHINGTON RISE CABRA 99,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,02/03/2010,711849.21,737321.43
54240,AGENT,SWAN'S NEST AVENUE KILBARRACK 25,CLOSED,North Central Area Office,Abandoned Bicycles or Trolleys,05/01/2010,722303.03,739267.27
70396,AGENT,RATHGAR ROAD RATHGAR 105,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,16/02/2010,714993.78,730491.58
70618,AGENT,DRUMMOND PLACE HAROLD'S CROSS 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,17/02/2010,714905.47,732152.18
91210,AGENT,NEW STREET SOUTH 3,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,30/04/2010,715068.84,733366.37
64480,AGENT,TRINITY STREET 1/2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,02/02/2010,715715.07,734052.75
79178,AGENT,HARCOURT ROAD 6,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,19/03/2010,715754.97,732785.00
116880,AGENT,OLD COUNTY GLEN CRUMLIN,CLOSED,South Central Area Office,Abandoned Bicycles or Trolleys,01/07/2010,313148,232082
142190,AGENT,HARCOURT ROAD DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,30/08/2010,315643,232749
107002,AGENT,GEORGE'S PLACE 1/2,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,11/06/2010,715605.40,735547.00
104006,AGENT,EXCHANGE STREET LOWER 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,03/06/2010,715223.36,734140.28
123210,AGENT,LARKHILL ROAD WHITEHALL,CLOSED,North West Area Office,Abandoned Bicycles or Trolleys,15/07/2010,316494,238368
104464,AGENT,DRUMMOND PLACE HAROLD'S CROSS 8,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,04/06/2010,714924.63,732175.96
117040,AGENT,VILLA PARK DRIVE NAVAN ROAD 3,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,01/07/2010,712191.13,736276.01
140902,AGENT,NORTHBROOK AVENUE RANELAGH 54,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,25/08/2010,716363.81,732191.28
129448,AGENT,SOUTH LOTTS ROAD RINGSEND,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,29/07/2010,317642,233315
102904,AGENT,CLARENDON ROW DUBLIN 2,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,01/06/2010,315760,233625
129638,AGENT,MERRION ROW 1,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,29/07/2010,716289.98,733427.87
138636,AGENT,BLACKHALL PLACE DUBLIN 7,CLOSED,Central Area Office,Abandoned Bicycles or Trolleys,19/08/2010,314432,234310
108148,AGENT,DRUMMOND PLACE HAROLD'S CROSS 9,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,14/06/2010,714927.43,732179.32
213776,AGENT,TERENURE ROAD NORTH TERENURE,CLOSED,South East Area Office,Abandoned Bicycles or Trolleys,23/02/2011,314461,230188
